AverTemp(°C),Precipitation(mm),AverHumidity(%),WindSpeed(m/s),SunDuration(giờ),AtmosPressure(hPa),Year,Month,Day,DayOfWeek,IsWeekend,Season_Mùa mưa
-1.8984301186740722,-0.4131816446431163,-1.6656385436407082,1.701925551718605,-0.4179849348702392,1.9045752811966925,-1.518692738705535,-1.5816911194008074,-1.6717896420190053,0.0026344783474027784,-0.6301260378126045,-0.6859943405700354
-1.5596155571710766,-0.3828432997659988,-0.8533213641894963,1.321463162646289,-0.4179849348702392,1.712250742939553,-1.518692738705535,-1.5816911194008074,-1.5582250971553617,0.5031853643539502,-0.6301260378126045,-0.6859943405700354
-1.6219262811256494,-0.2319499528771769,-0.02811026125493451,0.8957076320177446,-1.817553303197917,1.434448632123705,-1.518692738705535,-1.5816911194008074,-1.4446605522917182,1.0037362503604979,1.5869840952317447,-0.6859943405700354
-1.4427829497562499,-0.4826404868617804,-0.010918363277131457,-0.42685210142411584,-0.7489094048900489,0.7078892653745319,-1.518692738705535,-1.5816911194008074,-1.3310960074280747,1.5042871363670454,1.5869840952317447,-0.6859943405700354
-1.1740679527021485,-0.4826404868617804,1.295665883035931,-0.42685210142411584,0.06952330876869721,0.3232401888602529,-1.518692738705535,-1.5816911194008074,-1.2175314625644311,-1.4990181796722397,-0.6301260378126045,-0.6859943405700354
-0.9949246213327477,-0.5552928390675094,1.6932285237726339,-0.7982558621851864,0.09050876296507623,0.3446095819999452,-1.518692738705535,-1.5816911194008074,-1.1039669177007876,-0.9984672936656922,-0.6301260378126045,-0.6859943405700354
-1.0299744035571956,-0.49780965930033916,0.9539769107270873,0.19819325205183191,-1.470486176103973,0.9215831967713333,-1.518692738705535,-1.5816911194008074,-0.990402372837144,-0.4979164076591447,-0.6301260378126045,-0.6859943405700354
-1.3025838208584584,-0.40360111468192134,0.8723153953325191,2.055212055857184,-1.9596086854503239,1.4985568115427517,-1.518692738705535,-1.5816911194008074,-0.8768378279735005,0.0026344783474027784,-0.6301260378126045,-0.6859943405700354
-1.5674043976653982,-0.41477839963664886,0.418879086167954,1.9283912594997454,-1.3897728907332871,1.5840343841014601,-1.518692738705535,-1.5816911194008074,-0.763273283109857,0.5031853643539502,-0.6301260378126045,-0.6859943405700354
-1.505093673710824,-0.326956874992361,0.5220304740347754,1.5479288704274294,-1.8127105060756779,1.3917098458443207,-1.518692738705535,-1.5816911194008074,-0.6497087382462133,1.0037362503604979,1.5869840952317447,-0.6859943405700354
-1.5946653393955244,-0.4578907844620265,0.24051314464824392,0.4246589598329724,-1.8127105060756779,1.3276016664253045,-1.518692738705535,-1.5816911194008074,-0.5361441933825698,1.5042871363670454,1.5869840952317447,-0.6859943405700354
-2.003579465347416,-0.4850356193520791,0.6918004665655855,1.9827430293672188,-1.0717625463727878,1.434448632123705,-1.518692738705535,-1.5816911194008074,-0.42257964851892627,-1.4990181796722397,-0.6301260378126045,-0.6859943405700354
-2.393021490063504,-0.5321398916612881,-0.601889856264124,2.227325993770851,-1.3913871564407003,1.7977283154982917,-1.518692738705535,-1.5816911194008074,-0.30901510365528273,-0.9984672936656922,-0.6301260378126045,-0.6859943405700354
-2.5215373582198137,-0.5473090640998469,-1.953602834768916,0.9953525434414464,-1.3913871564407003,2.0327916400347856,-1.518692738705535,-1.5816911194008074,-0.1954505587916392,-0.4979164076591447,-0.6301260378126045,-0.6859943405700354
-2.805830036262558,-0.5552928390675094,-1.953602834768916,0.6239487826803758,-1.0055776523688271,2.0327916400347856,-1.518692738705535,-1.5816911194008074,-0.08188601392799563,0.0026344783474027784,-0.6301260378126045,-0.6859943405700354
-2.474804315253883,-0.39242382972719375,-1.2444370431845257,1.031587056686429,-1.323587996729325,1.8190977086379538,-1.518692738705535,-1.5816911194008074,0.03167853093564791,0.5031853643539502,-0.6301260378126045,-0.6859943405700354
-1.964635262875808,-0.28544124516051583,-0.5524631495779383,1.031587056686429,-1.7013261722641309,1.8190977086379538,-1.518692738705535,-1.5816911194008074,0.14524307579929147,1.0037362503604979,1.5869840952317447,-0.6859943405700354
-1.964635262875808,-0.17845866059383794,-0.627677703230827,1.439225330692482,-1.2461032427734673,1.7336201360792454,-1.518692738705535,-1.5816911194008074,0.258807620662935,1.5042871363670454,1.5869840952317447,-0.6859943405700354
-2.143778594245209,-0.4930193943197417,-1.5796790537516927,1.0406456849976744,-1.0653054835431335,1.7977283154982917,-1.518692738705535,-1.5816911194008074,0.37237216552657854,-1.4990181796722397,-0.6301260378126045,-0.6859943405700354
-2.2372446801770693,-0.4930193943197417,-1.4593357679070684,0.16195873880684938,0.025938134668527273,1.7977283154982917,-1.518692738705535,-1.5816911194008074,0.4859367103902221,-0.9984672936656922,-0.6301260378126045,-0.6859943405700354
-2.159356275233852,-0.5528977065772107,-0.023812286760481458,0.31595542009802485,0.20189309677662162,2.0755304263141396,-1.518692738705535,-1.5816911194008074,0.5995012552538657,-0.4979164076591447,-0.6301260378126045,-0.6859943405700354
-2.233350259929908,-0.5608814815448732,-0.44071581272221694,0.16195873880684938,0.02432386896111429,2.0755304263141396,-1.518692738705535,-1.5816911194008074,0.7130658001175092,0.0026344783474027784,-0.6301260378126045,-0.6859943405700354
-2.171039535975334,-0.5608814815448732,-2.3017387688194364,-0.5627315260928001,0.3988335130810918,2.0755304263141396,-1.518692738705535,-1.5816911194008074,0.8266303449811527,0.5031853643539502,-0.6301260378126045,-0.6859943405700354
